task_id,title,split,family,domain,acceptance_status,pruning_decision,counts_toward_accepted_core,public_export_role,human_time_bucket,human_minutes_p50,human_minutes_p90,proof_lines,tactic_profile,automation_dominated,hidden_pin_strength,wrong_submission_count,frontier_one_shot_likelihood,diagnostic_value,decision_flags,decision_basis,core_exclusion_reason,retained_role,next_action
lt-104,stack pushAll size proof repair,test,proof_repair_codebase,small_stack_api_change,rejected_duplicate,rejected_archive,false,retained_in_repo_not_exported,T1,35,65,11,"{""induction"": 1, ""simp"": 3}",true,mixed,1,likely,low,lower_time_bucket;automation_dominated;likely_frontier_one_shot;duplicate_role,rejected_duplicate: overlaps strongly with lt-003 queue/stack size repair and is similarly short.,Excluded from release/core claims because it duplicates an already retained calibration or capability role.,pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because it duplicates a retained calibration or core capability.
lt-105,counter batched increment proof repair,test,proof_repair_codebase,small_counter_api_change,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,40,80,11,"{""induction"": 1, ""rfl"": 1, ""simp"": 2}",true,semantic,2,likely,medium,lower_time_bucket;automation_dominated;likely_frontier_one_shot;calibration_role,"calibration_only: same-signature semantic wrongs are useful, but the reference proof is short and automation-dominated; T2/core status was too generous.","Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-106,formalize suffix as append after a prefix,test,informal_spec_to_formal,list_relation_specification,rejected_duplicate,rejected_archive,false,retained_in_repo_not_exported,T1,30,60,5,"{""exact"": 2, ""simp"": 2}",false,mixed,1,likely,low,lower_time_bucket;likely_frontier_one_shot;duplicate_role,rejected_duplicate: suffix version duplicates lt-004 prefix semantic-calibration role.,Excluded from release/core claims because it duplicates an already retained calibration or capability role.,pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because it duplicates a retained calibration or core capability.
lt-107,formalize contains-all as membership implication,test,informal_spec_to_formal,list_membership_specification,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,35,70,10,"{""exact"": 1, ""intro"": 2, ""simp"": 1}",false,semantic,2,likely,medium,lower_time_bucket;likely_frontier_one_shot;calibration_role,"calibration_only: hidden pins catch vacuous and nonempty-only specs, but the formalization surface is too compact for accepted core status.","Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-108,formalize adjacent nondecreasing order,test,informal_spec_to_formal,ordered_list_specification,calibration_only,retained_calibration_only,false,included_in_public_release_export,T1,40,80,9,"{""exact"": 1}",false,semantic,2,likely,medium,lower_time_bucket;likely_frontier_one_shot;calibration_role,"calibration_only: good semantic pins for dropped-tail and first-pair-only definitions, but the proof surface is too small for core benchmark status.","Excluded from accepted-core performance claims and retained only for lower-bound calibration, harness regression, or simple semantic-pin checks.",release calibration and harness regression evidence,Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-109,bounded budget spend invariant,test,invariant_verification_ml_optimization,resource_budget_update,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,30,60,13,"{""omega"": 2, ""simp"": 1, ""split"": 2, ""unfold"": 3}",false,semantic,1,very_likely,low,lower_time_bucket;likely_frontier_one_shot;too_easy_role,rejected_too_easy: budget invariant is mostly nested if-splitting plus omega.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-110,toy descent step monotonicity,test,invariant_verification_ml_optimization,simplified_gradient_descent_nat,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,25,50,9,"{""exact"": 1, ""omega"": 1, ""unfold"": 2}",false,semantic,1,very_likely,low,lower_time_bucket;likely_frontier_one_shot;too_easy_role,"rejected_too_easy: one arithmetic monotonicity fact, too small for core benchmark use.","Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-111,clipped interval projection invariant,test,invariant_verification_ml_optimization,projected_optimizer_box_constraint,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T2,75,150,9,"{""omega"": 2, ""split"": 4, ""unfold"": 2}",false,semantic,1,likely,low,likely_frontier_one_shot;too_easy_role,rejected_too_easy: interval clipping invariant is useful as a candidate idea but reference is omega-dominated.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-112,tiny Vec2 addition library,test,small_formal_library_construction,componentwise_vector_algebra,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,35,70,15,"{""cases"": 5, ""simp"": 3}",true,mixed,1,very_likely,low,lower_time_bucket;automation_dominated;likely_frontier_one_shot;too_easy_role,rejected_too_easy: structure wrapper proofs are cases/simp dominated.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-113,append-only log library,test,small_formal_library_construction,append_only_log_interface,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T2,55,110,20,"{""cases"": 7, ""simp"": 4}",true,mixed,1,likely,medium,automation_dominated;likely_frontier_one_shot;too_easy_role,rejected_too_easy: small library interface is useful but cases/simp dominated; not promoted to avoid inflating accepted count.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-114,Option Nat default and mapSucc utility library,test,small_formal_library_construction,option_utility_interface,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,25,45,13,"{""rfl"": 4}",true,mixed,1,very_likely,low,lower_time_bucket;automation_dominated;likely_frontier_one_shot;too_easy_role,rejected_too_easy: nearly all rfl; harness smoke only.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-115,direct proof by repeated right cancellation,test,direct_theorem_proving,nat_arithmetic_cancellation,rejected_too_easy,rejected_archive,false,retained_in_repo_not_exported,T1,20,45,6,"{""exact"": 1}",false,mixed,1,very_likely,low,lower_time_bucket;likely_frontier_one_shot;too_easy_role,rejected_too_easy: direct proof is one obvious library cancellation lemma.,"Excluded from release/core claims because the proof surface is too short, too local, automation dominated, or likely one-shot solvable.",pruning evidence retained in repo archive only,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-202,Mathlib set image/preimage package,test,direct_theorem_proving,mathlib_set_image_preimage,accepted_v0,accepted_core,true,included_in_public_release_export,T2,90,180,46,"{""constructor"": 1, ""exact"": 9, ""intro"": 17, ""rcases"": 6, ""rfl"": 1, ""rw"": 3}",false,mixed,2,maybe,medium_high,accepted_with_caveat;accepted_core,"accepted_v0_keep_with_caveat: Mathlib-adjacent theorem package requiring image/preimage API lookup, premise selection, and witness decomposition; hidden checks mostly protect fixed theorem signatures rather than semantic formalization choices.","Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,"Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
lt-204,capped-list optimizer invariant package,test,invariant_verification_ml_optimization,toy_projected_optimizer_list_state,accepted_v0,accepted_core,true,included_in_public_release_export,T2,100,200,36,"{""exact"": 2, ""induction"": 3, ""omega"": 2, ""simp"": 6, ""split"": 2, ""unfold"": 2}",false,semantic,3,maybe,high,accepted_core,"accepted_v0: optimizer-style invariant package with helper lemmas for cap bounds, list preservation, and sum monotonicity.","Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,"Collect independent timing, hosted QA, and accepted-core scaffold/model evidence before benchmark freeze."
lt-205,count-based bag library construction,test,small_formal_library_construction,list_bag_count_interface,accepted_v0,accepted_core,true,included_in_public_release_export,T3,150,300,42,"{""exact"": 2, ""induction"": 1, ""intro"": 4, ""omega"": 1, ""rfl"": 2, ""rw"": 3, ""simp"": 6}",false,semantic,3,unlikely,high,accepted_core,accepted_v0: T3 small library construction with dependent count lemmas and downstream BagEq reuse; expected to be hard one-shot.,"Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,Independently time at least one human solve and run the planned scaffold sweep before using this as long-horizon evidence.
lt-206,partition/count correctness package,test,algorithm_correctness,list_partition_multiplicity_invariant,accepted_v0,accepted_core,true,included_in_public_release_export,T2,100,210,60,"{""exact"": 1, ""induction"": 4, ""omega"": 5, ""simp"": 14}",true,semantic,2,maybe,high,automation_dominated;accepted_with_caveat;accepted_core,"accepted_v0_keep_with_caveat: reference proof uses substantial simp/omega automation, but the task is retained for the multi-lemma partition invariant, side predicates, and duplicate-sensitive count preservation; needs independent review before any locked benchmark claim.","Counts toward accepted-core v0.1 task set, with any caveat recorded in the review note.",accepted-core local task/grader validity evidence,"Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
