step_id,phase,status,command,expected_artifacts,claim_supported,evidence_basis,failure_interpretation,limitation,next_action
grader_hardening,local_replay,ready,python scripts/audit_grader_hardening.py,data/grader_hardening_audit.csv;reports/grader_hardening_audit.md,"Forbidden-construct scanning, axiom allowlists, grader ordering, and validation-command coverage are reviewable.",Generated hardening probes and local QA outcome summaries.,A hardening failure blocks claims that the grader is difficult to game.,"The scanner remains lexical source scanning, not a complete Lean parser.",Add regression probes whenever new forbidden constructs or task-specific bans are introduced.
public_export,local_replay,ready,python scripts/export_public_tasks.py --out public_tasks,public_tasks,Public release assets can be exported without hidden references or wrong submissions.,Generated public_tasks directory plus validation_public_export.py checks.,Export failures block public release and hosted-upload preparation.,"The export is a local directory snapshot, not a hosted problem version.",Rerun after task metadata or public-file edits.
public_export_validation,local_replay,ready,python scripts/validate_public_export.py --out public_tasks,,The public export omits hidden/wrong directories and exported Lean files compile.,"Validator exit code, hidden-path scan, public-file existence checks, and exported Lean compilation.","Any leak, missing file, or compile failure blocks public release claims.",This does not run Taiga Full Env QA or Env Linter.,Run immediately before hosted packaging or release tagging.
security_leakage,local_replay,ready,python scripts/audit_security_leakage.py,data/security_leakage_audit.csv;reports/security_leakage_audit.md,"Committed/exported artifacts can be checked for credential patterns, hidden public-export paths, and verbatim hidden Lean content leakage.","Tracked-file secret-pattern scan, sensitive filename scan, public export path scan, and hidden-content fingerprint scan.",Any failure blocks public/research-report hygiene claims until the finding is removed or the scanner is corrected with a documented reason.,This scans committed/exported artifacts only; it does not inspect private untracked local environment files or replace hosted QA.,Run after public export and before regenerating report/manifest evidence.
taiga_metadata_template,local_replay,ready,python scripts/generate_taiga_problem_metadata.py,taiga/problems_metadata.template.json,The public release task set can be rendered into a Taiga problems-metadata template.,Generated template row count and hosted-readiness audit checks.,A generation failure blocks hosted-upload preparation but does not affect local Lean validation.,The template uses placeholder image values; it is not a hosted problem-version record or QA result.,Replace placeholders with immutable uploaded image digests only after building and uploading the container.
report_regeneration,local_replay,ready,python scripts/generate_report.py,reports/metr_style_report.md;reports/evidence_appendix.md;reports/figures,"The main report, appendix, and descriptive figures regenerate from committed CSV inputs.","Generated markdown and figure files, plus report-source traceability and figure-manifest audits.",Report-generation failures block use of the report as a reproducible artifact.,Generated report text can still overclaim unless claim-conformance checks pass.,"Follow with traceability, claim-conformance, and shape audits."
claim_and_shape_audits,local_replay,ready,python scripts/audit_report_claim_conformance.py; python scripts/audit_report_shape.py,data/report_claim_conformance_audit.csv;data/report_shape_audit.csv;reports/report_claim_conformance_audit.md;reports/report_shape_audit.md,The report keeps blocked claims blocked and answers the playbook report-shape questions where evidence allows.,"Claim authorization matrix, report text scans, and report-shape audit rows.",Any failure means the report wording must be revised before publication.,"Text audits are guardrails, not substitutes for substantive external evidence.",Regenerate report text and rerun claim/shape audits after claim-policy edits.
validation_manifest,local_replay,ready,python scripts/write_validation_manifest.py --public-export public_tasks; python scripts/audit_validation_manifest.py,reports/validation_manifest.json;data/validation_manifest_audit.csv;reports/validation_manifest_audit.md,"The local validation gate, artifact hashes, public-export summary, and dirty-status policy are recorded.","Validation manifest plus audit rows for schema, command coverage, hashes, and public export.",Manifest failures block reproducibility claims until commands and artifacts are synchronized.,The manifest intentionally omits self-referential report hashes and is not clean-checkout proof.,"For a release tag, rerun from a clean checkout or CI and record that separate evidence."
provider_sweep,external_evidence,blocked_external_evidence,python scripts/run_model_sweep.py --provider PROVIDER --model MODEL --scaffold SCAFFOLD --attempts 10 --acceptance-status accepted_v0,data/run_results.csv;transcripts;reports/model_run_analysis.md,"Future pass@k, scaffold-effect, and frontier/open-model claims.","Provider transcripts, run_results rows, model-result analysis, integrity checks, and statistical audits.","Without these rows, empirical performance and scaffold-effect claims remain blocked.",Requires external provider runners and API keys kept only in environment variables.,Run only after local and hosted QA are stable enough for reported sweeps.
independent_human_timing,external_evidence,blocked_external_evidence,Fill data/human_time_observations.csv from non-author timed solves,data/human_time_observations.csv;reports/human_time_calibration_audit.md,Future calibrated time-horizon bucket and human-time trend claims.,Independent timing observations and refreshed calibration audits.,"Without observations, time-horizon claims remain author-estimate-only.",Must not be inferred from model pass rates or author expectations.,Collect non-author timed solves before claiming calibrated human-time measurement.
hosted_qa,external_evidence,blocked_external_evidence,Run hosted Full Env QA and Env Linter on exact final problem versions,data/hosted_qa_readiness_audit.csv;reports/hosted_qa_readiness_audit.md,Future hosted-QA-cleared and locked-benchmark claims.,"Problem-version mapping, Full Env QA results, Env Linter findings, and fix/rebuttal dispositions.",Hosted-QA gaps keep locked-benchmark and deployment-reliability claims blocked.,"This repository currently records readiness only, not hosted QA pass evidence.","Package, upload, run QA, wait for late findings, and commit dispositions."
