task_id,title,split,acceptance_status,release_role,benchmark_grade_status,family,domain,human_time_bucket,human_minutes_p50,human_minutes_p90,proof_lines,declaration_count,public_file_count,public_lemma_count,automation_dominated,tactic_profile,mathlib_use,multi_file_context,hidden_pin_strength,hidden_check_count,hidden_example_count,wrong_submission_count,frontier_one_shot_likelihood,diagnostic_value,scaffold_sensitivity,requires_library_search,requires_decomposition,requires_semantic_formalization,requires_proof_debugging,requires_codebase_navigation,requires_invariant_design,requires_long_horizon_construction,manual_review_note,next_review_action
lt-106,formalize suffix as append after a prefix,test,rejected_duplicate,rejected_archive,rejected_archive,informal_spec_to_formal,list_relation_specification,T1,30,60,5,3,1,2,false,"{""exact"": 2, ""simp"": 2}",false,false,mixed,2,2,1,likely,low,medium; stronger scaffolds help debug semantic mismatches but not ambiguous specs,false,false,true,false,false,false,false,rejected_duplicate: suffix version duplicates lt-004 prefix semantic-calibration role.,Keep archived as pruning evidence; exclude because it duplicates a retained calibration or core capability.
lt-107,formalize contains-all as membership implication,test,calibration_only,calibration_release,calibration_only,informal_spec_to_formal,list_membership_specification,T1,35,70,10,3,1,2,false,"{""exact"": 1, ""intro"": 2, ""simp"": 1}",false,false,semantic,2,5,2,likely,medium,high; lookup can help with list membership simplification while hidden pins test semantic correctness,false,false,true,false,false,false,false,"calibration_only: hidden pins catch vacuous and nonempty-only specs, but the formalization surface is too compact for accepted core status.",Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-108,formalize adjacent nondecreasing order,test,calibration_only,calibration_release,calibration_only,informal_spec_to_formal,ordered_list_specification,T1,40,80,9,4,1,3,false,"{""exact"": 1}",false,false,semantic,3,4,2,likely,medium,"medium; hidden pins diagnose semantic mismatch, retries help align recursive equations",false,true,true,false,false,false,false,"calibration_only: good semantic pins for dropped-tail and first-pair-only definitions, but the proof surface is too small for core benchmark status.",Exclude from core performance claims; use only for lower-bound calibration and harness regression checks.
lt-109,bounded budget spend invariant,test,rejected_too_easy,rejected_archive,rejected_archive,invariant_verification_ml_optimization,resource_budget_update,T1,30,60,13,4,1,3,false,"{""omega"": 2, ""simp"": 1, ""split"": 2, ""unfold"": 3}",false,false,semantic,3,3,1,very_likely,low,medium; compile feedback helps conditional branch and arithmetic cleanup,false,false,false,false,false,true,false,rejected_too_easy: budget invariant is mostly nested if-splitting plus omega.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-110,toy descent step monotonicity,test,rejected_too_easy,rejected_archive,rejected_archive,invariant_verification_ml_optimization,simplified_gradient_descent_nat,T1,25,50,9,4,1,2,false,"{""exact"": 1, ""omega"": 1, ""unfold"": 2}",false,false,semantic,2,3,1,very_likely,low,low_to_medium; lookup helps find Nat.le_trans or subtraction lemmas,false,false,false,false,false,true,false,"rejected_too_easy: one arithmetic monotonicity fact, too small for core benchmark use.",Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-111,clipped interval projection invariant,test,rejected_too_easy,rejected_archive,rejected_archive,invariant_verification_ml_optimization,projected_optimizer_box_constraint,T2,75,150,9,3,1,2,false,"{""omega"": 2, ""split"": 4, ""unfold"": 2}",false,false,semantic,2,4,1,likely,low,high; iterative compile/debug is expected to help with branch-local hypotheses,false,false,false,false,false,true,false,rejected_too_easy: interval clipping invariant is useful as a candidate idea but reference is omega-dominated.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-112,tiny Vec2 addition library,test,rejected_too_easy,rejected_archive,rejected_archive,small_formal_library_construction,componentwise_vector_algebra,T1,35,70,15,6,1,3,true,"{""cases"": 5, ""simp"": 3}",false,false,mixed,3,2,1,very_likely,low,medium; lookup helps with structure case analysis and Nat.add_assoc,false,false,false,false,false,false,true,rejected_too_easy: structure wrapper proofs are cases/simp dominated.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-113,append-only log library,test,rejected_too_easy,rejected_archive,rejected_archive,small_formal_library_construction,append_only_log_interface,T2,55,110,20,9,1,4,true,"{""cases"": 7, ""simp"": 4}",false,false,mixed,4,2,1,likely,medium,high; lookup should help find List.append_assoc and length simplification,false,true,false,false,false,false,true,rejected_too_easy: small library interface is useful but cases/simp dominated; not promoted to avoid inflating accepted count.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-114,Option Nat default and mapSucc utility library,test,rejected_too_easy,rejected_archive,rejected_archive,small_formal_library_construction,option_utility_interface,T1,25,45,13,6,1,4,true,"{""rfl"": 4}",false,false,mixed,4,2,1,very_likely,low,low; mainly tests exact API construction and avoiding off-by-one semantics,false,false,false,false,false,false,true,rejected_too_easy: nearly all rfl; harness smoke only.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-115,direct proof by repeated right cancellation,test,rejected_too_easy,rejected_archive,rejected_archive,direct_theorem_proving,nat_arithmetic_cancellation,T1,20,45,6,1,1,1,false,"{""exact"": 1}",false,false,mixed,1,1,1,very_likely,low,high; lookup should strongly improve discovery of the cancellation lemma,true,false,false,false,false,false,false,rejected_too_easy: direct proof is one obvious library cancellation lemma.,Keep archived as pruning evidence; exclude because the proof surface is too automation-dominated or local.
lt-202,Mathlib set image/preimage package,test,accepted_v0,accepted_core,accepted_core_with_caveat,direct_theorem_proving,mathlib_set_image_preimage,T2,90,180,46,5,1,5,false,"{""constructor"": 1, ""exact"": 9, ""intro"": 17, ""rcases"": 6, ""rfl"": 1, ""rw"": 3}",true,false,mixed,5,2,2,maybe,medium_high,high; lookup should materially help with Set.image membership and subset_antisymm,true,true,false,false,false,false,false,"accepted_v0_keep_with_caveat: Mathlib-adjacent theorem package requiring image/preimage API lookup, premise selection, and witness decomposition; hidden checks mostly protect fixed theorem signatures rather than semantic formalization choices.","Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
lt-204,capped-list optimizer invariant package,test,accepted_v0,accepted_core,accepted_core_retained,invariant_verification_ml_optimization,toy_projected_optimizer_list_state,T2,100,200,36,10,1,6,false,"{""exact"": 2, ""induction"": 3, ""omega"": 2, ""simp"": 6, ""split"": 2, ""unfold"": 2}",false,false,semantic,6,8,3,maybe,high,high; iterative compile/debug helps isolate helper lemmas,false,true,false,false,false,true,true,"accepted_v0: optimizer-style invariant package with helper lemmas for cap bounds, list preservation, and sum monotonicity.","Collect independent timing, hosted QA, and accepted-core scaffold/model evidence before benchmark freeze."
lt-205,count-based bag library construction,test,accepted_v0,accepted_core,accepted_core_retained,small_formal_library_construction,list_bag_count_interface,T3,150,300,42,12,1,8,false,"{""exact"": 2, ""induction"": 1, ""intro"": 4, ""omega"": 1, ""rfl"": 2, ""rw"": 3, ""simp"": 6}",false,false,semantic,8,5,3,unlikely,high,high; lookup and compile/debug should help with arithmetic normalization and theorem reuse,false,true,false,false,false,false,true,accepted_v0: T3 small library construction with dependent count lemmas and downstream BagEq reuse; expected to be hard one-shot.,Independently time at least one human solve and run the planned scaffold sweep before using this as long-horizon evidence.
lt-206,partition/count correctness package,test,accepted_v0,accepted_core,accepted_core_with_caveat,algorithm_correctness,list_partition_multiplicity_invariant,T2,100,210,60,9,1,5,true,"{""exact"": 1, ""induction"": 4, ""omega"": 5, ""simp"": 14}",false,false,semantic,5,6,2,maybe,high,high; iterative compile/debug helps align the four mutually reinforcing invariants,false,true,false,false,false,true,true,"accepted_v0_keep_with_caveat: reference proof uses substantial simp/omega automation, but the task is retained for the multi-lemma partition invariant, side predicates, and duplicate-sensitive count preservation; needs independent review before any locked benchmark claim.","Retain in v0.1 only with the recorded caveat; collect independent human timing, full scaffold sweep evidence, and external QA before freeze."
