requirement_id,area,requirement,freeze_relevance,source_note,status,evidence,gap_or_next_step
transcript_failure_workflow,runs,Run rows should link transcripts and carry failure labels for review.,required_for_release_artifact,Playbook failure taxonomy.,supported,run_results rows: 69; local QA rows: 66; model rows: 3.,No gap for workflow; broader model sweeps are still needed.
transcript_review_packet,runs,Transcript review packet should provide a non-local run review queue failure-label codebook blank adjudication template and label-claim boundary without fabricating review labels.,required_for_research_report,Research-report quality requirement for transcript-based failure classification.,supported,queue rows: 3; non-local run ids covered: 3/3; template rows: 3; missing transcripts in queue: 0; prefilled template labels: 0; report exists: True.,No gap.
frontier_model_evidence,runs,Frontier/open-model runs should provide evidence beyond local QA.,required_for_locked_benchmark,Playbook project target.,partial,Non-infra model rows: 2 over 6 accepted tasks; total model rows including infra failures: 3.,Run broader provider sweeps only after local and hosted QA are stable.
public_export_no_hidden_leak,integrity,Public export should include public assets and exclude hidden references and wrong submissions.,required_for_release_artifact,User hidden-material non-leak requirement.,supported,Public export exists: True; exported tasks: 14; hidden/wrong paths: 0.,No gap.
task_asset_manifest,reproducibility,Task asset manifest should record per-task public hidden and wrong asset hashes plus public-export mapping.,required_for_research_report,Research-report reproducibility requirement for exact task assets.,supported,task asset rows: 171; missing assets: 0; release public export misses: 0; hidden/wrong exported: 0; accepted wrong gaps: 0; accepted hidden gaps: 0; report exists: True.,No gap.
report_from_committed_data,reporting,The METR-style report and plots should regenerate from committed CSVs.,required_for_research_report,Playbook report shape and user reporting requirement.,supported,metr_style_report.md exists: True; generate_report reads CSV: True.,No gap.
concise_metr_report,reporting,Concise METR-style report should provide a skimmable reviewer-facing narrative while detailed generated tables remain in appendices and CSVs.,required_for_research_report,Playbook report-shape guidance to keep the main text skimmable.,supported,concise report exists: True; line_count: 172; missing required phrases: []; generator reads CSV: True.,No gap.
report_shape_audit,reporting,Report-shape audit should check the concise METR-style report against the playbook questions and distinguish answered limitations from unsupported performance claims.,required_for_research_report,Playbook report-shape guidance for METR-style narrative completeness.,supported,report-shape rows: 7; required checks covered: 7/7; needs_attention rows: 0; blocked_by_evidence rows: 2; report exists: True.,No gap.
difficulty_audit_report,reporting,"Difficulty audit should include proof length, tactic profile, automation dominance, hidden-pin strength, and model-solvability estimates.",required_for_research_report,User hard-review requirement.,supported,difficulty_audit rows: 26; report exists: True.,No gap.
manual_accepted_task_review,reporting,Accepted tasks should have hard reviewer-style notes and benchmark-grade caveats.,required_for_research_report,User accepted-task review requirement.,supported,accepted_task_review.md exists: True.,No gap.
task_quality_matrix,reporting,"Reviewer-facing task quality matrix should join metadata, difficulty signals, caveats, and next-review actions.",required_for_research_report,Research-report quality requirement for task-level auditability.,supported,task_quality_matrix rows: 26; metadata rows: 26; report exists: True.,No gap.
diagnostic_coverage_audit,reporting,Diagnostic coverage audit should map accepted tasks to playbook capabilities families failure labels and construct-validity gaps.,required_for_research_report,Research-report quality requirement for diagnostic validity.,supported,diagnostic coverage rows: 15; required checks covered: 15/15; failures: 0; cautions: 3; blocks: 1; report exists: True.,No gap.
human_time_calibration_audit,reporting,Human-time calibration audit should verify bucket and p50/p90 consistency and explicitly track missing independent timing evidence.,required_for_research_report,Research-report quality requirement for time-horizon estimate validity.,supported,human-time audit rows: 26; metadata rows: 26; failures: 0; accepted without independent timing: 6/6; observation rows: 0; report exists: True.,No gap.
human_timing_collection_packet,calibration,Human timing collection packet should give independent reviewers per-task timing instructions validation commands and a blank observation template without containing fabricated observations.,required_for_research_report,Research-report quality requirement for making independent timing collection operational.,supported,timing plan rows: 6; accepted tasks covered: 6/6; template rows: 6; hidden-reference command leaks: False; report exists: True.,No gap.
pin_coverage_audit,reporting,Hidden-pin audit should distinguish public-stage wrong failures from wrong submissions that reach semantic pins.,required_for_research_report,Research-report quality requirement for semantic-check evidence.,supported,pin_coverage rows: 26; accepted rows: 6; accepted hidden-pin wrong failures: 5; mutable accepted rows with hidden-pin failures: 4/4; proof-only fixed-statement rows: 2; report exists: True.,No gap.
run_integrity_audit,reporting,"Run-result integrity audit should verify transcripts, score vectors, failure labels, and pass@k arithmetic.",required_for_research_report,Research-report quality requirement for run-data validity.,supported,run_integrity rows: 69; run_results rows: 69; failing rows: 0; report exists: True.,No gap.
grader_hardening_audit,reporting,Grader hardening audit should probe forbidden scanning false-positive controls task-specific bans grader stage ordering axiom allowlists validation-command coverage and local QA outcomes.,required_for_research_report,Research-report quality requirement for anti-gaming evidence.,supported,grader hardening rows: 9; required checks covered: 9/9; failures: 0; report exists: True.,No gap.
statistical_reporting_audit,reporting,Statistical reporting audit should determine which recommended performance plots and claims are supported by committed provider sample sizes.,required_for_research_report,Research-report quality requirement for not overinterpreting smoke rows.,supported,statistical audit rows: 8; required checks covered: 8/8; failures: 0; blocked performance outputs: 5; report exists: True.,No gap.
provider_readiness_audit,reporting,Provider readiness audit should verify model-runner contracts adapter coverage credential policy transcript evidence planned sweep commands and smoke-only coverage limits.,required_for_research_report,Research-report quality requirement for provider-run transparency.,supported,provider readiness rows: 11; required checks covered: 11/11; failures: 0; cautions: 1; blocks: 1; report exists: True.,No gap.
model_sweep_execution_packet,runs,Model sweep execution packet should provide concrete provider scaffold commands credential policy post-run evidence checks and claim-boundary reminders without creating fake model results.,required_for_research_report,Research-report quality requirement for making planned scaffold/provider sweeps operational.,supported,"command rows: 12; checklist rows: 7; scaffolds: [""lookup"", ""lookup_unlimited"", ""one-shot""]; providers: [""anthropic"", ""command"", ""gemini"", ""openai""]; key assignment leaks: 0; report exists: True.",No gap.
hosted_qa_readiness_audit,reporting,Hosted QA readiness audit should distinguish local readiness from missing Taiga packaging problem-version QA and finding-resolution evidence.,required_for_research_report,Research-report quality requirement for hosted-QA transparency.,supported,hosted QA readiness rows: 11; required checks covered: 11/11; failures: 0; blocked hosted-QA steps: 9; report exists: True.,No gap.
threats_to_validity_register,reporting,Threats-to-validity register should turn construct internal external statistical operational and security limitations into generated evidence rows with mitigations and stronger-evidence requirements.,required_for_research_report,Research-report quality requirement for explicit validity limitations.,supported,"threat rows: 12; required threats covered: 12/12; categories: [""construct_validity"", ""external_validity"", ""internal_validity"", ""operational_security"", ""operational_validity"", ""statistical_validity""]; statuses: {""block"": 7, ""caution"": 3, ""controlled"": 2}; invalid statuses: 0; report exists: True.",No gap.
claim_evidence_audit,reporting,"Claim-evidence audit should map artifact, report, performance, and benchmark-status claims to evidence strength and limits.",required_for_research_report,Research-report quality requirement for avoiding overclaims.,supported,claim_evidence rows: 9; required claims covered: 9/9; unsupported overclaim rows: 3; report exists: True.,No gap.
claim_authorization_matrix,reporting,"Claim authorization matrix should translate evidence audits into allowed caveated and blocked report wording, including forbidden overclaim language.",required_for_research_report,Research-report quality requirement for reviewer-readable claim boundaries.,supported,authorization rows: 12; required claims covered: 12/12; blocked rows: 5; caveated rows: 6; invalid statuses: 0; missing wording rows: 0; report exists: True.,No gap.
research_claim_gap_matrix,reporting,Research claim gap matrix should map caveated and blocked claims to the minimum evidence packages and requirement gates needed before stronger wording is allowed.,required_for_research_report,Research-report quality requirement for upgrade-path traceability.,supported,gap rows: 12; non-allowed claims covered: 11/11; high-or-blocked rows: 7; missing package rows: 0; missing support rows: 0; report exists: True.,No gap.
report_claim_conformance_audit,reporting,Report claim-conformance audit should check the main report and README against the claim authorization matrix so blocked claims remain caveated or explicitly unsupported.,required_for_research_report,Research-report quality requirement for enforcing claim boundaries in prose.,supported,conformance rows: 10; required checks covered: 10/10; failures: 0; cautions: 1; report exists: True.,No gap.
release_decision_log,reporting,Release decision log should translate evidence audits into explicit pass/caution/block gates and next actions.,required_for_research_report,Research-report quality requirement for reviewable go/no-go claims.,supported,release_decision rows: 8; required gates covered: 8/8; block gates: 4; pass gates: 2; report exists: True.,No gap.
freeze_readiness_roadmap,reporting,Freeze-readiness roadmap should synthesize requirement claim hosted QA statistical model-run and metadata audits into measurable gates for locked-benchmark readiness.,required_for_research_report,Research-report quality requirement for concrete next-step gating.,supported,"freeze roadmap rows: 10; required gates covered: 10/10; statuses: {""block"": 8, ""caution"": 1, ""ready"": 1}; report exists: True.",No gap.
scaffold_support_audit,reporting,Scaffold support audit should verify prompt contracts runner semantics lookup safety planned coverage and observed coverage limits.,required_for_research_report,Research-report quality requirement for scaffold-ladder validity.,supported,scaffold audit rows: 11; required checks covered: 11/11; failures: 0; cautions: 1; report exists: True.,No gap.
independent_human_time_review,calibration,"Human-time estimates should be separately reviewed or measured, not inferred from model pass rates.",required_for_locked_benchmark,Playbook human time estimates process.,partial,Accepted tasks with manual_review_complete: 6/6; accepted tasks with successful independent timing observations: 0/6; observation rows: 0.,Collect independent Lean-human timed solves or second-reviewer timing notes before freeze.
hosted_qa_env_linter,qa,Hosted Taiga/Env Linter QA should be run before delivery/freeze.,required_for_locked_benchmark,Playbook hosted QA loop.,not_met,Hosted QA artifacts present: 0/2; hosted readiness report exists: True; blocked hosted-readiness checks: 9.,Run hosted Full Env QA and record findings/rebuttals before claiming a locked benchmark.
reproducibility_manifest,reproducibility,"A clean regeneration trail should record toolchain, commands, counts, and artifact hashes.",required_for_research_report,Report-quality reproducibility requirement.,supported,validation_manifest.json exists: True.,No gap.
candidate_pruning_audit,portfolio,Candidate tasks should be separated from accepted tasks and pruned aggressively.,required_for_release_artifact,Playbook candidate generation and filtering guidance.,supported,Rejected archive tasks: 12; calibration-only tasks: 8; accepted tasks: 6.,No gap.
semantic_formalization_pins,grading,Formalization tasks should use semantic pins rather than brittle exact-text matching.,required_for_release_artifact,Playbook hidden semantic pins guidance.,supported,Accepted informal-spec rows in difficulty audit: 1; semantic pin rows: 1.,No gap.
