row_index,task_id,qa_stage,model,model_version,scaffold,job_id,transcript_link,transcript_exists,transcript_parse_ok,transcript_records,matching_transcript_records,attempts_total,attempts_completed,k,successes_out_of_k,pass_at_k,score_values_count,score_values_successes,metadata_match_ok,arithmetic_ok,failure_label_known,transcript_consistency_ok,integrity_status,issues
27,lt-102,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-102,transcripts/local-qa/lt-102.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
28,lt-102,local_qa,plausible_wrong:AllSomeOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:AllSomeOnly-lt-102,transcripts/local-qa/lt-102.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
29,lt-103,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-103,transcripts/local-qa/lt-103.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
30,lt-103,local_qa,plausible_wrong:LeafOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:LeafOnly-lt-103,transcripts/local-qa/lt-103.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
31,lt-104,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-104,transcripts/local-qa/lt-104.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
32,lt-104,local_qa,plausible_wrong:EmptyOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:EmptyOnly-lt-104,transcripts/local-qa/lt-104.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
33,lt-105,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-105,transcripts/local-qa/lt-105.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
34,lt-105,local_qa,plausible_wrong:FirstIncrementOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:FirstIncrementOnly-lt-105,transcripts/local-qa/lt-105.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
35,lt-105,local_qa,plausible_wrong:SingleIncrementOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:SingleIncrementOnly-lt-105,transcripts/local-qa/lt-105.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
36,lt-106,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-106,transcripts/local-qa/lt-106.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
37,lt-106,local_qa,plausible_wrong:Reversed,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Reversed-lt-106,transcripts/local-qa/lt-106.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
38,lt-107,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-107,transcripts/local-qa/lt-107.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
39,lt-107,local_qa,plausible_wrong:NonemptyHaystack,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:NonemptyHaystack-lt-107,transcripts/local-qa/lt-107.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
40,lt-107,local_qa,plausible_wrong:Vacuous,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Vacuous-lt-107,transcripts/local-qa/lt-107.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
41,lt-108,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-108,transcripts/local-qa/lt-108.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
42,lt-108,local_qa,plausible_wrong:FirstPairOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:FirstPairOnly-lt-108,transcripts/local-qa/lt-108.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
43,lt-108,local_qa,plausible_wrong:Vacuous,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:Vacuous-lt-108,transcripts/local-qa/lt-108.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
44,lt-109,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-109,transcripts/local-qa/lt-109.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
45,lt-109,local_qa,plausible_wrong:SpendAlwaysSubtract,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:SpendAlwaysSubtract-lt-109,transcripts/local-qa/lt-109.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
46,lt-110,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-110,transcripts/local-qa/lt-110.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
47,lt-110,local_qa,plausible_wrong:OnlySmallGrad,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:OnlySmallGrad-lt-110,transcripts/local-qa/lt-110.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
48,lt-111,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-111,transcripts/local-qa/lt-111.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
49,lt-111,local_qa,plausible_wrong:NoUpperClip,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:NoUpperClip-lt-111,transcripts/local-qa/lt-111.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
50,lt-112,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-112,transcripts/local-qa/lt-112.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
51,lt-112,local_qa,plausible_wrong:ProjectionAdd,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:ProjectionAdd-lt-112,transcripts/local-qa/lt-112.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
52,lt-113,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-113,transcripts/local-qa/lt-113.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
53,lt-113,local_qa,plausible_wrong:ReverseAppend,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:ReverseAppend-lt-113,transcripts/local-qa/lt-113.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
54,lt-114,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-114,transcripts/local-qa/lt-114.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
55,lt-114,local_qa,plausible_wrong:IdentityMap,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:IdentityMap-lt-114,transcripts/local-qa/lt-114.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
56,lt-115,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-115,transcripts/local-qa/lt-115.jsonl,true,true,2,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
57,lt-115,local_qa,plausible_wrong:NeedsExtraHyp,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:NeedsExtraHyp-lt-115,transcripts/local-qa/lt-115.jsonl,true,true,2,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
58,lt-202,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-202,transcripts/local-qa/lt-202.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
59,lt-202,local_qa,plausible_wrong:MissingSurjectivity,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:MissingSurjectivity-lt-202,transcripts/local-qa/lt-202.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
60,lt-202,local_qa,plausible_wrong:UnivOnlySurjectivity,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:UnivOnlySurjectivity-lt-202,transcripts/local-qa/lt-202.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
61,lt-204,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-204,transcripts/local-qa/lt-204.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
62,lt-204,local_qa,plausible_wrong:LengthAsSum,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:LengthAsSum-lt-204,transcripts/local-qa/lt-204.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
63,lt-204,local_qa,plausible_wrong:LengthOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:LengthOnly-lt-204,transcripts/local-qa/lt-204.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
64,lt-205,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-205,transcripts/local-qa/lt-205.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
65,lt-205,local_qa,plausible_wrong:LengthBagEq,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:LengthBagEq-lt-205,transcripts/local-qa/lt-205.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
66,lt-205,local_qa,plausible_wrong:SetMembershipOnly,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:SetMembershipOnly-lt-205,transcripts/local-qa/lt-205.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
67,lt-206,local_qa,reference_solution,lean-4.28.0-local,one-shot,local-qa-reference_solution-lt-206,transcripts/local-qa/lt-206.jsonl,true,true,3,1,1,1,1,1,1.0,1,1,true,true,true,true,pass,
68,lt-206,local_qa,plausible_wrong:DropRightSide,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:DropRightSide-lt-206,transcripts/local-qa/lt-206.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
69,lt-206,local_qa,plausible_wrong:WeakAllGt,lean-4.28.0-local,one-shot,local-qa-plausible_wrong:WeakAllGt-lt-206,transcripts/local-qa/lt-206.jsonl,true,true,3,1,1,1,1,0,0.0,1,0,true,true,true,true,pass,
