task_id,title,split,family,acceptance_status,pincheck_lines,theorem_shape_checks,positive_examples,negative_examples,parameterized_examples,exact_eval_examples,wrong_submission_count,wrongs_failing_public_stage,wrongs_failing_hidden_pin_stage,wrongs_failing_mixed_stage,wrongs_failing_unknown_stage,wrong_stage_summary,submission_surface,same_signature_hidden_wrong_feasibility,hidden_pin_role,pin_coverage_grade,review_note
lt-104,stack pushAll size proof repair,test,proof_repair_codebase,rejected_duplicate,12,2,2,0,2,0,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-105,counter batched increment proof repair,test,proof_repair_codebase,calibration_only,19,2,5,0,1,4,2,1,1,0,0,"{""hidden_pin"": 1, ""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Calibration row; use as harness/pin regression evidence only.
lt-106,formalize suffix as append after a prefix,test,informal_spec_to_formal,rejected_duplicate,13,2,1,1,0,1,1,1,0,0,0,"{""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,pins_not_exercised_by_wrongs,Rejected archive row; retained as pruning evidence.
lt-107,formalize contains-all as membership implication,test,informal_spec_to_formal,calibration_only,25,2,3,2,0,0,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_examples_exercised,Calibration row; use as harness/pin regression evidence only.
lt-108,formalize adjacent nondecreasing order,test,informal_spec_to_formal,calibration_only,17,3,2,2,0,0,2,0,2,0,0,"{""hidden_pin"": 2}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_examples_exercised,Calibration row; use as harness/pin regression evidence only.
lt-109,bounded budget spend invariant,test,invariant_verification_ml_optimization,rejected_too_easy,13,3,3,0,1,2,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-110,toy descent step monotonicity,test,invariant_verification_ml_optimization,rejected_too_easy,12,2,3,0,1,2,1,1,0,0,0,"{""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,pins_not_exercised_by_wrongs,Rejected archive row; retained as pruning evidence.
lt-111,clipped interval projection invariant,test,invariant_verification_ml_optimization,rejected_too_easy,14,2,4,0,1,3,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-112,tiny Vec2 addition library,test,small_formal_library_construction,rejected_too_easy,12,3,2,0,1,1,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-113,append-only log library,test,small_formal_library_construction,rejected_too_easy,15,4,2,0,1,1,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-114,Option Nat default and mapSucc utility library,test,small_formal_library_construction,rejected_too_easy,12,4,2,0,0,1,1,0,1,0,0,"{""hidden_pin"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_guard_only,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-115,direct proof by repeated right cancellation,test,direct_theorem_proving,rejected_too_easy,7,1,1,0,1,0,1,0,1,0,0,"{""hidden_pin"": 1}",proof_only_fixed_statements,structurally_infeasible_for_same_signature_proof_wrongs,signature_and_downstream_use_guard,signature_plus_hidden_failure,Rejected archive row; retained as pruning evidence.
lt-202,Mathlib set image/preimage package,test,direct_theorem_proving,accepted_v0,26,5,2,0,0,1,2,2,0,0,0,"{""public_stage"": 2}",proof_only_fixed_statements,structurally_infeasible_for_same_signature_proof_wrongs,signature_and_downstream_use_guard,pins_not_exercised_by_wrongs,Accepted proof-only row: same-signature semantic wrong proofs are structurally infeasible once Lean accepts the fixed theorem; hidden pins guard signatures and downstream use.
lt-204,capped-list optimizer invariant package,test,invariant_verification_ml_optimization,accepted_v0,31,6,6,2,1,5,2,1,1,0,0,"{""hidden_pin"": 1, ""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_pins_exercised,Accepted row has at least one wrong submission reaching hidden pins and nontrivial examples.
lt-205,count-based bag library construction,test,small_formal_library_construction,accepted_v0,41,8,4,1,1,3,2,1,1,0,0,"{""hidden_pin"": 1, ""public_stage"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_pins_exercised,Accepted row has at least one wrong submission reaching hidden pins and nontrivial examples.
lt-206,partition/count correctness package,test,algorithm_correctness,accepted_v0,37,5,4,2,1,3,2,0,1,0,1,"{""hidden_pin"": 1, ""unknown"": 1}",mutable_definitions_plus_theorems,feasible_via_definition_semantics,semantic_positive_negative_guard,semantic_pins_exercised,Accepted row has at least one wrong submission reaching hidden pins and nontrivial examples.
