section_id,heading,status,evidence,source_artifacts,missing_sources,missing_phrases,limitation,next_action
construct_validity_trace,Construct Validity Trace,pass,section_present=True; sources=4; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/construct_validity_matrix.csv;reports/construct_validity_matrix.md;data/diagnostic_coverage_audit.csv;data/task_quality_matrix.csv,[],[],"The construct-validity trace supports task-level review only, not capability-level performance claims.",Keep singleton and caveat boundaries visible until more accepted tasks and model evidence exist.
human_time,Human-Time Estimates,pass,section_present=True; sources=3; source_mentions_in_main_report=1; missing_sources=0; missing_phrases=0,data/human_time_calibration_audit.csv;data/human_time_observations.csv;reports/human_timing_collection_packet.md,[],[],Independent timing observations are absent.,Collect independent timed solves before strengthening time-horizon claims.
grading_integrity,Grader And Integrity Controls,pass,section_present=True; sources=5; source_mentions_in_main_report=1; missing_sources=0; missing_phrases=0,scripts/validate_task.py;harness/forbidden_constructs.py;docs/axiom_policy.md;data/grader_hardening_audit.csv;data/pin_coverage_audit.csv,[],[],Finite hidden pins do not prove complete semantic equivalence.,Keep hidden-pin and axiom caveats attached to grading claims.
public_export,Public Export,pass,section_present=True; sources=4; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,scripts/export_public_tasks.py;scripts/validate_public_export.py;data/task_asset_manifest.csv;public_tasks,[],[],Local public export validation is not hosted QA.,Rerun public export validation after task or prompt changes.
security_leakage,Security And Leakage Audit,pass,section_present=True; sources=4; source_mentions_in_main_report=4; missing_sources=0; missing_phrases=0,data/security_leakage_audit.csv;reports/security_leakage_audit.md;scripts/audit_security_leakage.py;public_tasks,[],[],The security/leakage audit scans committed and exported artifacts; it does not inspect private untracked local files or replace hosted QA.,Run after public export and before report/manifest regeneration.
scaffold_support,Scaffold And Model-Run Support,pass,section_present=True; sources=4; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/scaffold_variants.csv;scripts/lean_lookup.py;scripts/run_model_sweep.py;data/scaffold_support_audit.csv,[],[],"Scaffold support exists, but scaffold-effect evidence is not yet covered.",Run accepted-core scaffold sweeps before interpreting scaffold effects.
model_result_analysis,Model Result Analysis,pass,section_present=True; sources=6; source_mentions_in_main_report=4; missing_sources=0; missing_phrases=0,data/model_result_summary.csv;data/model_sweep_coverage_audit.csv;reports/model_run_analysis.md;reports/model_sweep_coverage_audit.md;reports/passk_claim_boundary_audit.md;data/model_sweep_plan.csv,[],[],Provider rows are tiny smoke evidence only.,Keep primary sweep undercoverage visible until broader provider rows are committed.
model_provenance,Model Evidence Provenance Audit,pass,section_present=True; sources=3; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/model_evidence_provenance_audit.csv;reports/model_evidence_provenance_audit.md;data/run_results.csv,[],[],Traceable model provenance does not imply adequate sample size.,Rerun provenance audit after every model sweep.
analysis_decision_register,Analysis Decision Register,pass,section_present=True; sources=5; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/analysis_decision_register.csv;reports/analysis_decision_register.md;data/model_sweep_plan.csv;data/statistical_design_thresholds.csv;data/model_sweep_coverage_audit.csv,[],[],The analysis-decision register fixes analysis rules; it does not create provider rows or unlock blocked performance claims.,"Regenerate after sweep-plan, run-schema, statistical-threshold, coverage, timing, failure-label, or hosted-readiness changes."
evidence_strength_matrix,Evidence Strength Matrix,pass,section_present=True; sources=6; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/evidence_strength_matrix.csv;reports/evidence_strength_matrix.md;data/requirement_coverage.csv;data/claim_authorization_matrix.csv;data/model_sweep_coverage_audit.csv;data/hosted_qa_readiness_audit.csv,[],[],"The evidence-strength matrix classifies current evidence; it does not create independent, provider, hosted, or freeze evidence.","Regenerate after requirements, claims, run coverage, independent review, timing, or hosted-readiness changes."
protocol_deviation_log,Protocol Deviation Log,pass,section_present=True; sources=6; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/protocol_deviation_log.csv;reports/protocol_deviation_log.md;data/task_metadata.csv;data/model_sweep_coverage_audit.csv;data/hosted_qa_readiness_audit.csv;data/claim_authorization_matrix.csv,[],[],The protocol-deviation log records scope differences and blockers; it does not resolve those blockers.,"Regenerate after task status, run coverage, timing/review evidence, hosted-readiness, or claim-authorization changes."
statistical_analysis_plan,Statistical Analysis Plan,pass,section_present=True; sources=4; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,reports/statistical_analysis_plan.md;data/statistical_design_thresholds.csv;data/wilson_precision_table.csv;reports/statistical_reporting_audit.md,[],[],The statistical plan defines evidence thresholds; it does not create model-performance evidence.,Keep blocked claim tiers blocked until committed sweeps meet the threshold rows.
figure_manifest,Figure Manifest And Plot Boundaries,pass,section_present=True; sources=6; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,reports/figure_manifest.md;data/figure_manifest.csv;data/model_sweep_coverage_audit.csv;reports/figures/task_counts_by_family.svg;reports/figures/task_counts_by_bucket.svg;reports/figures/task_minutes_by_bucket.svg,[],[],The figure manifest allows descriptive and provenance figures while blocking unsupported performance plots.,Regenerate the figure manifest after report or model-result changes.
committed_runs,Committed Run Results,pass,section_present=True; sources=3; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/run_results.csv;data/model_result_summary.csv;transcripts,[],[],"The table is smoke-run provenance, not benchmark performance.",Keep infra rows retained but excluded from pass-rate summaries.
threat_coverage,Threat Coverage Audit,pass,section_present=True; sources=5; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/threat_coverage_audit.csv;reports/threat_coverage_audit.md;data/threats_to_validity.csv;data/requirement_coverage.csv;data/claim_authorization_matrix.csv,[],[],Threat coverage checks whether limitations are visible; it does not resolve those limitations.,"Regenerate threat coverage after requirement, claim, or threat-register changes."
claim_authorization,Claim Authorization Matrix,pass,section_present=True; sources=3; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/claim_authorization_matrix.csv;reports/claim_authorization_matrix.md;data/claim_evidence_audit.csv,[],[],Allowed wording is narrower than full benchmark-readiness wording.,Keep blocked claims visible as blocked until evidence upgrades land.
remaining_blockers,Remaining Blockers,pass,section_present=True; sources=3; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/requirement_coverage.csv;reports/research_claim_gap_matrix.md;reports/freeze_readiness_roadmap.md,[],[],Blockers are intentionally unresolved in v0.1.,"Use this table as the upgrade path, not as a completion claim."
final_delivery_checklist,Final Delivery Checklist Audit,pass,section_present=True; sources=8; source_mentions_in_main_report=3; missing_sources=0; missing_phrases=0,data/final_delivery_checklist_audit.csv;reports/final_delivery_checklist_audit.md;docs/lean_eval_project_playbook.md;data/model_sweep_plan.csv;data/model_sweep_coverage_audit.csv;data/hosted_qa_readiness_audit.csv;data/figure_manifest.csv;data/task_asset_manifest.csv,[],[],"The checklist audit maps final-delivery evidence; it does not complete blocked hosted QA, pass@k, or version-freeze requirements.",Keep final-delivery blockers visible until hosted and provider evidence is committed.
taiga_wrapper_isolation,Taiga Wrapper Isolation Audit,pass,section_present=True; sources=6; source_mentions_in_main_report=2; missing_sources=0; missing_phrases=0,data/taiga_wrapper_isolation_audit.csv;reports/taiga_wrapper_isolation_audit.md;scripts/audit_taiga_wrapper_isolation.py;scripts/generate_taiga_hidden_bundle.py;taiga/mcp_server.py;taiga/Dockerfile,[],[],"The wrapper-isolation audit is a local mitigation smoke test, not hosted filesystem-tool isolation evidence.",Run Taiga hosted preflight and Env Linter on uploaded problem versions before upgrading hosted-QA claims.
evidence_files,Report And Evidence Files,pass,section_present=True; sources=26; source_mentions_in_main_report=26; missing_sources=0; missing_phrases=0,reports/evidence_appendix.md;reports/concise_metr_report.md;reports/requirement_coverage.md;reports/report_source_traceability.md;reports/report_count_consistency_audit.md;reports/peer_review_matrix.md;reports/security_leakage_audit.md;reports/analysis_decision_register.md;reports/evidence_strength_matrix.md;reports/protocol_deviation_log.md;reports/data_schema_manifest.md;reports/reviewer_reproduction_packet.md;reports/clean_workspace_replay.md;reports/candidate_pruning_audit.md;reports/accepted_task_cards.md;reports/independent_task_review_packet.md;reports/independent_review_status_audit.md;reports/failure_label_review_audit.md;reports/statistical_analysis_plan.md;reports/figure_manifest.md;reports/threat_coverage_audit.md;reports/regeneration_command_consistency.md;reports/taiga_wrapper_isolation_audit.md;reports/final_delivery_checklist_audit.md;reports/model_sweep_coverage_audit.md;reports/passk_claim_boundary_audit.md,[],[],The source map improves traceability but does not create new model evidence.,"Keep new report artifacts listed in README, manifest, and source traceability."
reproducibility,Reproducibility Checklist,pass,section_present=True; sources=11; source_mentions_in_main_report=9; missing_sources=0; missing_phrases=0,README.md;reports/validation_manifest.json;reports/validation_manifest_audit.md;reports/regeneration_command_consistency.md;reports/reviewer_reproduction_packet.md;reports/clean_workspace_replay.md;data/reviewer_reproduction_steps.csv;data/clean_workspace_replay.csv;data/validation_manifest_audit.csv;data/regeneration_command_consistency.csv;scripts/write_validation_manifest.py,[],[],"The manifest records local reproducibility, not hosted QA.",Regenerate the manifest after every report or script change.
claim_ledger,Claim Ledger,pass,section_present=True; sources=3; source_mentions_in_main_report=1; missing_sources=0; missing_phrases=0,data/claim_authorization_matrix.csv;data/claim_evidence_audit.csv;reports/report_claim_conformance_audit.md,[],[],The ledger is a prose summary of narrower generated claim controls.,Keep tempting overclaims marked unsupported.
limitations,Limitations,pass,section_present=True; sources=3; source_mentions_in_main_report=0; missing_sources=0; missing_phrases=0,reports/threats_to_validity.md;data/research_claim_gap_matrix.csv;data/freeze_readiness_roadmap.csv,[],[],Limitations remain active blockers.,Do not mark the benchmark locked until limitations are backed by stronger evidence.
